"ROW_ID",DESC,"CATEGORIA","SUBCATEGORIA","DATA","VALOR"
"1","Ser","Serviços públicos gerais","Órgãos executivos e legislativos assuntos financeiros e fiscais assuntos externos","2015-01","10146542.4000"
"2","Ser","Serviços públicos gerais","Serviços Gerais","2015-01","42328.7300"
"3","Ser","Serviços públicos gerais","A pesquisa básica","2015-01","491.1600"
"4","Ser","Serviços públicos gerais","Operações de dívida pública","2015-01","37863.7700"
"5","Ser","Serviços públicos gerais","Órgãos executivos e legislativos assuntos financeiros e fiscais assuntos externos","2015-02","17953070.5900"
"6","Ser","Serviços públicos gerais","Serviços Gerais","2015-02","231031.7700"
"7","Ser","Serviços públicos gerais","A pesquisa básica","2015-02","108211.3200"
"8","Ser","Serviços públicos gerais","Operações de dívida pública","2015-02","288453.1100"
"9","Ser","Serviços públicos gerais","Órgãos executivos e legislativos assuntos financeiros e fiscais assuntos externos","2015-03","28868388.2900"
"10","Ser","Serviços públicos gerais","Serviços Gerais","2015-03","1121129.3000"
"11","Ser","Serviços públicos gerais","A pesquisa básica","2015-03","258772.2200"
"12","Ser","Serviços públicos gerais","Operações de dívida pública","2015-03","556767.0600"
"13","Def","Defesa","Defesa Civil","2015-01","264.5500"
"14","Def","Defesa","Defesa Civil","2015-02","6753.3700"
"15","Def","Defesa","Defesa Civil","2015-03","32758.7000"
"16","Seg","Segurança e ordem pública","Tribunais","2015-01","10132.0000"
"17","Seg","Segurança e ordem pública","Tribunais","2015-02","182336.7200"
"18","Seg","Segurança e ordem pública","Tribunais","2015-03","551361.4200"
"19","Ass","Assuntos econômicos","Agricultura silvicultura pesca e caça","2015-01","1725.0100"
"20","Ass","Assuntos econômicos","Transportes","2015-01","18586.4800"
"21","Ass","Assuntos econômicos","Agricultura silvicultura pesca e caça","2015-02","488408.5900"
"22","Ass","Assuntos econômicos","Combustíveis e energia","2015-02","8149.9400"
"23","Ass","Assuntos econômicos","Transportes","2015-02","1702886.5100"
"24","Ass","Assuntos econômicos","Agricultura silvicultura pesca e caça","2015-03","1047197.1900"
"25","Ass","Assuntos econômicos","Combustíveis e energia","2015-03","14813.3300"
"26","Ass","Assuntos econômicos","Transportes","2015-03","2213712.1900"
"27","A p","A proteção do ambiente","Gestão de águas residuais","2015-02","818.6400"
"28","A p","A proteção do ambiente","Proteção da biodiversidade e da paisagem","2015-02","9916.6200"
"29","A p","A proteção do ambiente","Gestão de águas residuais","2015-03","12776.0800"
"30","A p","A proteção do ambiente","Proteção da biodiversidade e da paisagem","2015-03","26226.0700"
"31","Hab","Habitação e equipamentos colectivos","Urbanizações","2015-01","15732.6400"
"32","Hab","Habitação e equipamentos colectivos","Desenvolvimento comunitário","2015-01","69553.5000"
"33","Hab","Habitação e equipamentos colectivos","Urbanizações","2015-02","236394.3100"
"34","Hab","Habitação e equipamentos colectivos","Desenvolvimento comunitário","2015-02","2186810.2700"
"35","Hab","Habitação e equipamentos colectivos","Abastecimento de água","2015-02","95.5300"
"36","Hab","Habitação e equipamentos colectivos","Iluminação pública","2015-02","213855.3900"
"37","Hab","Habitação e equipamentos colectivos","Urbanizações","2015-03","652471.6300"
"38","Hab","Habitação e equipamentos colectivos","Desenvolvimento comunitário","2015-03","4735942.0200"
"39","Hab","Habitação e equipamentos colectivos","Abastecimento de água","2015-03","6980.8200"
"40","Hab","Habitação e equipamentos colectivos","Iluminação pública","2015-03","560311.0800"
"41","Saú","Saúde","Serviços de saúde pública","2015-01","30004.7800"
"42","Saú","Saúde","Serviços de saúde pública","2015-02","4952435.6700"
"43","Saú","Saúde","Serviços de saúde pública","2015-03","11059743.9800"
"44","Rec","Recreação cultura e religião","Serviços desportivos e recreativos","2015-02","23891.2800"
"45","Rec","Recreação cultura e religião","Serviços culturais","2015-02","762047.4300"
"46","Rec","Recreação cultura e religião","Serviços de radiodifusão e de publicação","2015-02","9861.4700"
"47","Rec","Recreação cultura e religião","Serviços desportivos e recreativos","2015-03","108288.2600"
"48","Rec","Recreação cultura e religião","Serviços culturais","2015-03","1063009.2100"
"49","Rec","Recreação cultura e religião","Serviços de radiodifusão e de publicação","2015-03","171233.4700"
"50","Edu","Educação","Educação não definível por níveis","2015-02","318662.8300"
"51","Edu","Educação","Educação não definível por níveis","2015-03","343305.0100"